[2026-08-13 21:33:46] 库版本(同步前): 2026.08.13.4
[2026-08-13 21:33:46] 服务端库: /tmp/rt_db/System.db
[2026-08-13 21:33:46] 客户端库: /home/tetsuya/development/zircon/Debug/Client/Data/System.db
[2026-08-13 21:33:46] 阶段A校验失败: 425 处错误，未写库。
[2026-08-13 21:33:46]   ✗ ItemInfo#1078.Image: 图像帧 3281 超出范围 [0, 2364]
[2026-08-13 21:33:46]   ✗ ItemInfo#1079.Image: 图像帧 3422 超出范围 [0, 2364]
[2026-08-13 21:33:46]   ✗ ItemInfo#1080.Image: 图像帧 3245 超出范围 [0, 2364]
[2026-08-13 21:33:46]   ✗ ItemInfo#1081.Image: 图像帧 3243 超出范围 [0, 2364]
[2026-08-13 21:33:46]   ✗ ItemInfo#1082.Image: 图像帧 3240 超出范围 [0, 2364]
[2026-08-13 21:33:46]   ✗ ItemInfo#1083.Image: 图像帧 3241 超出范围 [0, 2364]
[2026-08-13 21:33:46]   ✗ ItemInfo#1088.Image: 图像帧 3309 超出范围 [0, 2364]
[2026-08-13 21:33:46]   ✗ ItemInfo#1092.Image: 图像帧 3038 超出范围 [0, 2364]
[2026-08-13 21:33:46]   ✗ ItemInfo#1093.Image: 图像帧 3039 超出范围 [0, 2364]
[2026-08-13 21:33:46]   ✗ ItemInfo#1094.Image: 图像帧 3069 超出范围 [0, 2364]
[2026-08-13 21:33:46]   ✗ ItemInfo#1095.Image: 图像帧 3069 超出范围 [0, 2364]
[2026-08-13 21:33:46]   ✗ ItemInfo#1096.Image: 图像帧 3069 超出范围 [0, 2364]
[2026-08-13 21:33:46]   ✗ ItemInfo#1101.Image: 图像帧 3391 超出范围 [0, 2364]
[2026-08-13 21:33:46]   ✗ ItemInfo#1103.Image: 图像帧 3381 超出范围 [0, 2364]
[2026-08-13 21:33:46]   ✗ ItemInfo#1104.Image: 图像帧 3325 超出范围 [0, 2364]
[2026-08-13 21:33:46]   ✗ ItemInfo#1105.Image: 图像帧 3335 超出范围 [0, 2364]
[2026-08-13 21:33:46]   ✗ ItemInfo#1106.Image: 图像帧 3328 超出范围 [0, 2364]
[2026-08-13 21:33:46]   ✗ ItemInfo#1107.Image: 图像帧 3338 超出范围 [0, 2364]
[2026-08-13 21:33:46]   ✗ ItemInfo#1108.Image: 图像帧 3351 超出范围 [0, 2364]
[2026-08-13 21:33:46]   ✗ ItemInfo#1109.Image: 图像帧 3341 超出范围 [0, 2364]
[2026-08-13 21:33:46]   ✗ ItemInfo#1110.Image: 图像帧 3038 超出范围 [0, 2364]
[2026-08-13 21:33:46]   ✗ ItemInfo#1111.Image: 图像帧 3039 超出范围 [0, 2364]
[2026-08-13 21:33:46]   ✗ ItemInfo#1120.Image: 图像帧 5352 超出范围 [0, 2364]
[2026-08-13 21:33:46]   ✗ ItemInfo#1121.Image: 图像帧 5342 超出范围 [0, 2364]
[2026-08-13 21:33:46]   ✗ ItemInfo#1122.Image: 图像帧 3428 超出范围 [0, 2364]
[2026-08-13 21:33:46]   ✗ ItemInfo#1123.Image: 图像帧 3448 超出范围 [0, 2364]
[2026-08-13 21:33:46]   ✗ ItemInfo#1124.Image: 图像帧 3457 超出范围 [0, 2364]
[2026-08-13 21:33:46]   ✗ ItemInfo#1125.Image: 图像帧 3438 超出范围 [0, 2364]
[2026-08-13 21:33:46]   ✗ ItemInfo#1127.Image: 图像帧 4010 超出范围 [0, 2364]
[2026-08-13 21:33:46]   ✗ ItemInfo#1128.Image: 图像帧 4012 超出范围 [0, 2364]
[2026-08-13 21:33:46]   ✗ ItemInfo#1158.Image: 图像帧 2886 超出范围 [0, 2364]
[2026-08-13 21:33:46]   ✗ ItemInfo#1159.Image: 图像帧 2887 超出范围 [0, 2364]
[2026-08-13 21:33:46]   ✗ ItemInfo#1160.Image: 图像帧 2888 超出范围 [0, 2364]
[2026-08-13 21:33:46]   ✗ ItemInfo#1161.Image: 图像帧 2889 超出范围 [0, 2364]
